CODIGO_REGIONAL;NOMBRE_REGIONAL;CODIGO_CENTRO;NOMBRE_CENTRO;NIVEL_FORMACION;IDENTIFICADOR_FICHA;IDENTIFICADOR_UNICO_FICHA;NOMBRE_ESTADO_FICHA;CODIGO_PROGRAMA;VERSION_PROGRAMA;NOMBRE_PROGRAMA_FORMACION;DURACION_PROGRAMA;CODIGO_PAIS_CURSO;NOMBRE_PAIS_CURSO;CODIGO_DEPARTAMENTO_CURSO;NOMBRE_DEPARTAMENTO_CURSO;CODIGO_MUNICIPIO_CURSO;NOMBRE_MUNICIPIO_CURSO;CODIGO_PROGRAMA_ESPECIAL;NOMBRE_PROGRAMA_ESPECIAL;CODIGO_CONVENIO;NOMBRE_CONVENIO;APLIACION_COBERTURA;MODALIDAD_FORMACION;NUMERO_CURSOS;Sisben_Nivel_1__Aprend_Masc;Sisben_Nivel_1__Aprend_Fem;Sisben_Nivel_1__Aprend_NoBin;Sisben_Nivel_1__Total_Aprend;Sisben_Nivel_2__Aprend_Masc;Sisben_Nivel_2__Aprend_Fem;Sisben_Nivel_2__Aprend_NoBin;Sisben_Nivel_2__Total_Aprend;Sisben_Nivel_3__Aprend_Masc;Sisben_Nivel_3__Aprend_Fem;Sisben_Nivel_3__Aprend_NoBin;Sisben_Nivel_3__Total_Aprend;Sisben_Nivel_4__Aprend_Masc;Sisben_Nivel_4__Aprend_Fem;Sisben_Nivel_4__Aprend_NoBin;Sisben_Nivel_4__Total_Aprend;Sisben_Nivel_5__Aprend_Masc;Sisben_Nivel_5__Aprend_Fem;Sisben_Nivel_5__Aprend_NoBin;Sisben_Nivel_5__Total_Aprend;Sisben_Nivel_6__Aprend_Masc;Sisben_Nivel_6__Aprend_Fem;Sisben_Nivel_6__Aprend_NoBin;Sisben_Nivel_6__Total_Aprend;No_registra_nivel_Sisben__Aprend_Masc;No_registra_nivel_Sisben__Aprend_Fem;No_registra_nivel_Sisben__Aprend_NoBin;No_registra_nivel_Sisben__Total_Aprend;TOTAL_APRENDICES_MASCULINOS;TOTAL_APRENDICES_FEMENINOS;TOTAL_APRENDICES_NOBINARIO;TOTAL_APRENDICES;TOTAL_HORAS
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;CURSO ESPECIAL;2957705;12957705;Terminada;33110272;1;PRIMEROS AUXILIOS PSICOLOGICOS;48;57;COLOMBIA;19;CAUCA;50;ARGELIA;0;;8842;ACUERDO NO. 0003 DE 2023  POR EL CUAL SE CREA LA ESTRATEGIA CAMPE-SENA, EL PROGRAMA DE FORMACIÓN ESPECIALIZADA PARA LA ECONOMÍA CAMPESINA - FEEC, EN EL SERVICIO NACIONAL DE APRENDIZAJE;N;PRESENCIAL;1;1;2;0;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;5;0;12;9;7;0;16;40:00:00
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;CURSO ESPECIAL;2955306;12955306;En ejecucion;41311187;1;LIDERAZGO E INNOVACION PARA LA PAZ;40;57;COLOMBIA;19;CAUCA;1;POPAYÁN;0;;8842;ACUERDO NO. 0003 DE 2023  POR EL CUAL SE CREA LA ESTRATEGIA CAMPE-SENA, EL PROGRAMA DE FORMACIÓN ESPECIALIZADA PARA LA ECONOMÍA CAMPESINA - FEEC, EN EL SERVICIO NACIONAL DE APRENDIZAJE;N;PRESENCIAL;1;1;5;0;6;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;8;1;14;0;15;20:00
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;CURSO ESPECIAL;2936107;12936107;Terminada;52520050;1;PILATES CON BALON;40;57;COLOMBIA;19;CAUCA;1;POPAYÁN;0;;8722;CONVENIO INTERADMINISTRATIVO 001-2022 CELEBRADO ENTRE EL SERVICIO NACIONAL DE APRENDIZAJE - SENA Y EL INSTITUTO NACIONAL PENITENCIARIO Y CARCELARIO - INPEC;N;PRESENCIAL;1;0;2;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;3;0;16;0;16;1;22;0;23;45:00:00
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;CURSO ESPECIAL;2917507;12917507;Terminada;52520061;1;ESTRUCTURACION DE PLANES DE ENTRENAMIENTO DEPORTIVO;80;57;COLOMBIA;19;CAUCA;1;POPAYÁN;0;;8722;CONVENIO INTERADMINISTRATIVO 001-2022 CELEBRADO ENTRE EL SERVICIO NACIONAL DE APRENDIZAJE - SENA Y EL INSTITUTO NACIONAL PENITENCIARIO Y CARCELARIO - INPEC;N;PRESENCIAL;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;26;26;0;0;26;80:00:00
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;CURSO ESPECIAL;2975313;12975313;Terminada por fecha;12110084;1;ANALISIS ORGANIZACIONAL POR PROCESOS;48;57;COLOMBIA;19;CAUCA;1;POPAYÁN;0;;8842;ACUERDO NO. 0003 DE 2023  POR EL CUAL SE CREA LA ESTRATEGIA CAMPE-SENA, EL PROGRAMA DE FORMACIÓN ESPECIALIZADA PARA LA ECONOMÍA CAMPESINA - FEEC, EN EL SERVICIO NACIONAL DE APRENDIZAJE;N;PRESENCIAL;1;3;3;0;6;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7;0;9;5;11;0;16;48:00:00
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;CURSO ESPECIAL;2936086;12936086;Terminada;33110272;1;PRIMEROS AUXILIOS PSICOLOGICOS;48;57;COLOMBIA;19;CAUCA;50;ARGELIA;0;;8842;ACUERDO NO. 0003 DE 2023  POR EL CUAL SE CREA LA ESTRATEGIA CAMPE-SENA, EL PROGRAMA DE FORMACIÓN ESPECIALIZADA PARA LA ECONOMÍA CAMPESINA - FEEC, EN EL SERVICIO NACIONAL DE APRENDIZAJE;N;PRESENCIAL;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;8;0;8;0;10;0;10;52:00:00
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;CURSO ESPECIAL;2955549;12955549;Terminada;66330105;1;EJECUCION DE OPERACIONES PARA EL MANEJO INTEGRAL DE RESIDUOS SOLIDOS;40;57;COLOMBIA;19;CAUCA;573;PUERTO TEJADA;0;;8722;CONVENIO INTERADMINISTRATIVO 001-2022 CELEBRADO ENTRE EL SERVICIO NACIONAL DE APRENDIZAJE - SENA Y EL INSTITUTO NACIONAL PENITENCIARIO Y CARCELARIO - INPEC;N;PRESENCIAL;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;1;0;17;16;1;0;17;40:00:00
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;CURSO ESPECIAL;2955296;12955296;Terminada;51340019;1;TECNICAS PARA DANZA TRADICIONAL;60;57;COLOMBIA;19;CAUCA;1;POPAYÁN;0;;8842;ACUERDO NO. 0003 DE 2023  POR EL CUAL SE CREA LA ESTRATEGIA CAMPE-SENA, EL PROGRAMA DE FORMACIÓN ESPECIALIZADA PARA LA ECONOMÍA CAMPESINA - FEEC, EN EL SERVICIO NACIONAL DE APRENDIZAJE;N;PRESENCIAL;1;1;5;0;6;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;8;1;14;0;15;60:00:00
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;CURSO ESPECIAL;2937931;12937931;Terminada;33110272;1;PRIMEROS AUXILIOS PSICOLOGICOS;48;57;COLOMBIA;19;CAUCA;50;ARGELIA;0;;8842;ACUERDO NO. 0003 DE 2023  POR EL CUAL SE CREA LA ESTRATEGIA CAMPE-SENA, EL PROGRAMA DE FORMACIÓN ESPECIALIZADA PARA LA ECONOMÍA CAMPESINA - FEEC, EN EL SERVICIO NACIONAL DE APRENDIZAJE;N;PRESENCIAL;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;5;0;13;8;5;0;13;52:00:00
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;CURSO ESPECIAL;2946418;12946418;Terminada por fecha;52520059;1;BASES DEL ENTRENAMIENTO DEPORTIVO;80;57;COLOMBIA;19;CAUCA;1;POPAYÁN;0;;8722;CONVENIO INTERADMINISTRATIVO 001-2022 CELEBRADO ENTRE EL SERVICIO NACIONAL DE APRENDIZAJE - SENA Y EL INSTITUTO NACIONAL PENITENCIARIO Y CARCELARIO - INPEC;N;PRESENCIAL;1;0;4;0;4;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;3;0;19;0;19;1;27;0;28;85:00:00
